sample_index,adc_raw,voltage_V
651,2205,0.44415
652,2007,0.40427
653,1592,0.32067
654,926,0.18652
655,501,0.10092
656,289,0.05821
657,557,0.11220
658,1044,0.21029
659,1701,0.34263
660,2125,0.42804
661,2183,0.43972
662,1932,0.38916
663,1492,0.30053
664,837,0.16860
665,468,0.09427
666,329,0.06627
667,572,0.11522
668,1098,0.22117
669,1684,0.33921
670,2091,0.42119
671,2211,0.44536
672,1939,0.39057
673,1393,0.28059
674,808,0.16275
675,429,0.08641
676,309,0.06224
677,637,0.12831
678,1191,0.23990
679,1763,0.35512
680,2133,0.42965
681,2174,0.43791
682,1917,0.38614
683,1335,0.26891
684,780,0.15711
685,412,0.08299
686,365,0.07352
687,725,0.14604
688,1285,0.25884
689,1788,0.36015
690,2158,0.43468
691,2173,0.43770
692,1883,0.37929
693,1311,0.26407
694,743,0.14966
695,351,0.07070
696,384,0.07735
697,740,0.14906
698,1285,0.25884
699,1871,0.37687
700,2167,0.43650
701,2141,0.43126
702,1834,0.36942
703,1214,0.24453
704,674,0.13576
705,342,0.06889
706,443,0.08923
707,784,0.15792
708,1353,0.27253
709,1930,0.38876
710,2187,0.44052
711,2087,0.42038
712,1697,0.34182
713,1112,0.22399
714,622,0.12529
715,321,0.06466
716,427,0.08601
717,880,0.17726
718,1427,0.28744
719,1983,0.39943
720,2135,0.43005
721,2126,0.42824
722,1678,0.33800
723,1113,0.22419
724,573,0.11542
725,298,0.06003
726,474,0.09548
727,896,0.18048
728,1484,0.29892
729,2016,0.40608
730,2210,0.44516
731,2007,0.40427
732,1599,0.32208
733,978,0.19700
734,476,0.09588
735,323,0.06506
736,483,0.09729
737,998,0.20103
738,1572,0.31665
739,1999,0.40266
740,2192,0.44153
741,2051,0.41313
742,1510,0.30416
743,930,0.18733
744,453,0.09125
745,343,0.06909
746,550,0.11079
747,1082,0.21795
748,1608,0.32390
749,2038,0.41051
750,2203,0.44375
751,1986,0.40004
752,1444,0.29086
753,841,0.16940
754,458,0.09225
755,325,0.06546
756,644,0.12972
757,1128,0.22721
758,1701,0.34263
759,2078,0.41857
760,2193,0.44173
761,1936,0.38997
762,1376,0.27717
763,830,0.16719
764,427,0.08601
765,325,0.06546
766,620,0.12489
767,1224,0.24655
768,1722,0.34686
769,2083,0.41958
770,2157,0.43448
771,1906,0.38392
772,1328,0.26750
773,723,0.14563
774,385,0.07755
775,358,0.07211
776,726,0.14624
777,1271,0.25602
778,1816,0.36579
779,2117,0.42642
780,2163,0.43569
781,1861,0.37486
782,1304,0.26266
783,717,0.14442
784,2119,0.42683
785,2140,0.43106
786,1201,0.24192
787,615,0.12388
788,391,0.07876
789,387,0.07795
790,819,0.16497
791,2202,0.44355
792,623,0.12549
793,1450,0.29207
794,2136,0.43025
795,2120,0.42703
796,1738,0.35008
797,1155,0.23265
798,394,0.07936
799,2112,0.42542
800,1618,0.32591
801,625,0.12589
802,316,0.06365
803,448,0.09024
804,974,0.19619
805,2243,0.45180
806,786,0.15832
807,1624,0.32712
808,2214,0.44596
809,1997,0.40225
810,1569,0.31604
811,959,0.19317
812,329,0.06627
813,1716,0.34565
814,885,0.17826
815,343,0.06909
816,546,0.10998
817,1018,0.20505
818,1600,0.32229
819,2177,0.43851
820,564,0.11361
821,1161,0.23386
822,2078,0.41857
823,2195,0.44214
824,1978,0.39843
825,1398,0.28160
826,385,0.07755
827,1987,0.40024
828,1336,0.26911
829,363,0.07312
830,322,0.06486
831,628,0.12650
832,1190,0.23970
833,2112,0.42542
834,369,0.07433
835,751,0.15127
836,1768,0.35613
837,2148,0.43267
838,2170,0.43710
839,1798,0.36217
840,923,0.18592
841,2154,0.43388
842,2115,0.42602
843,1268,0.25541
844,681,0.13717
845,349,0.07030
846,347,0.06990
847,1299,0.26166
848,729,0.14684
849,355,0.07151
850,848,0.17081
851,1398,0.28160
852,1901,0.38292
853,2156,0.43428
854,1013,0.20405
855,2158,0.43468
856,2031,0.40910
857,1106,0.22278
858,618,0.12448
859,302,0.06083
860,800,0.16114
861,2141,0.43126
862,542,0.10917
863,335,0.06748
864,508,0.10233
865,977,0.19680
866,1486,0.29932
867,2020,0.40689
868,2052,0.41333
869,1435,0.28905
870,2109,0.42481
871,1978,0.39843
872,1520,0.30617
873,981,0.19760
874,510,0.10273
875,309,0.06224
876,539,0.10857
877,1005,0.20244
878,1648,0.33195
879,2034,0.40971
880,2182,0.43952
881,1942,0.39117
882,1514,0.30496
883,906,0.18249
884,470,0.09467
885,360,0.07251
886,550,0.11079
887,1070,0.21553
888,1660,0.33437
889,2112,0.42542
890,2143,0.43166
891,1877,0.37808
892,1387,0.27938
893,798,0.16074
894,423,0.08520
895,312,0.06285
896,610,0.12287
897,1176,0.23688
898,1762,0.35492
899,2135,0.43005
900,2141,0.43126
901,1829,0.36841
902,1387,0.27938
903,793,0.15973
904,363,0.07312
905,341,0.06869
906,718,0.14463
907,1254,0.25259
908,1779,0.35834
909,2120,0.42703
910,2182,0.43952
911,1809,0.36438
912,1294,0.26065
913,684,0.13778
914,389,0.07836
915,341,0.06869
916,770,0.15510
917,1331,0.26810
918,1863,0.37526
919,2115,0.42602
920,2138,0.43065
921,1760,0.35451
922,1209,0.24353
923,617,0.12428
924,335,0.06748
925,420,0.08460
926,760,0.15309
927,1401,0.28220
928,1910,0.38473
929,2153,0.43368
930,2121,0.42723
931,1738,0.35008
